Tipo de Gasto;2025-05-01;2025-05-02;2025-05-03;2025-05-04;2025-05-05;2025-05-06;2025-05-07;2025-05-08;2025-05-09;2025-05-10;2025-05-11;2025-05-12;2025-05-13;2025-05-14;2025-05-15;2025-05-16;2025-05-17;2025-05-18;2025-05-19;2025-05-20;2025-05-21;2025-05-22;2025-05-23;2025-05-24;2025-05-25;2025-05-26;2025-05-27;2025-05-28;2025-05-29;2025-05-30;2025-05-31;Total Mensual;Tipo (Empresa / Personal)
UTE;;;;;;;;;;;3796;;;;;;;;;;;;;;;;;;;;;$3.796;Personal
ANTEL;;;;2056;;;;;;;;;;;;;;;;;;;;;;;;;;;;$2.056;Personal
OSE;;;;676;;;;;;;;;;;;;;;;;;;;;;;;;;;;$676;Personal
Combustible Celerio;;;;;;;2464;;;;;;;;;;;;;;2265;;;;;;;;;;;$4.729;Personal
Seguro Celerio;;;;;;;;;;;;;;;3827;;;;;;;;;;;;;;;;;$3.827;Personal
Cuota Celerio;;;;;15648;;;;;;;;;;;;;;;;;;;;;;;;;;;$15.648;Personal
Combustible Kangoo;;;;;;;;;;;;1000;3402;;;;;;;;;;;;;;;;;;;$4.402;Empresa
Supermercado;;;;;;234;2431;1033;;1159;;1752;;3935;;1008;;2802;733;;321;184;6117;;2210;;;2880;2568;2710;;$32.077;Personal
Salir a comer;;;;;;;;;;1130;2145;;;;;179;;2220;;;;;;;;;;;;;;$5.674;Personal
Celulares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$0;Personal
DIRECTV + NETFLIX;;;;473;;;;;;;;1500;;;;;;;;;;;;;;;;1500;;;;$3.473;Personal
Tarjeta OCA;;;;;;;;;;;;;;;11886;;;;;;;;;;;;;;;;;$11.886;Personal
Varios Personal;;;;;;1287;264;;672;;;16500;1270;500;;;;;;;;;;1377;;429;;;889;;;$23.188;Personal
Varios Empresa;;;;;;1768;354;;;;;;1690;;;2052;;;;;1345;;;;;;;;;;;$7.209;Empresa
BPS EMPRESA;;;;;;;;;;;11864;;;;;;;;;;;;;;;;;;;;;$11.864;Empresa
Sueldos;;;;;;;;;;16003;18633;;;;;;;;;;;;;;;;;;;;;$34.636;Empresa
BPS PERSONAL;;;;;;;;;;;3453;;;;;;;;;;;;;;;;;;;;;$3.453;Personal
BSE Empresa;;;;;;;;;;;321;;;;;;;;;;;;321;;;;;;;;;$642;Empresa
Colegio Benjamin;;;;;;;;;;;18990;;;;;;;;;;;;;;;;;;;;;$18.990;Personal
Cuota Terreno;;;;;;;;;;;23663;;;;;;;;;;;;;;;;;;;;;$23.663;Personal
DGI;;;;;;;;;;;;;;;;;;;;;;;;26997;;;;;;;;$26.997;Empresa
Futbol Benja cuota;;;;;;;;;;;1100;;;;;;;;;;;;;;;;;;;;;$1.100;Personal
Honorarios contadora;;;;;;;;;;;12330;;;;;;;;;;;;;;;;;;;;;$12.330;Empresa
Patente Celerio;;;;;;;;;;;12771;;;;;;;;;;;;;;;;;;;;;$12.771;Personal
Patente Kangoo;;;;;;;;;;;4606;;;;;;;;;;;;;;;;;;;;;$4.606;Empresa
Tarjeta BBVA;;;;;;;;;;;5353;;;;;;;;;;;;;;;;;;;;;$5.353;Personal
Viaticos empresa;;;;;;;;;;;;;;;;;;;;;;469;;;;;;;;;;$469;Empresa
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$0;
